index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp
64,Dominika Árvaiová,2,6,4500.0,-3834.3999999999996,665.6000000000004,2250.0,-639.0666666666666,1,4500.0,BB,1659003098.90497
65,Marian Dorkin,0,2,0.0,-101.25999999999999,-101.25999999999999,-1.0,-50.629999999999995,0,-1.0,BB,1659003098.9104042
66,Stanislav Horník,2,19,105.9,-95.9,10.0,52.95,-5.0473684210526315,1,105.9,BB,1659003098.916078
67,Diana Javorčíková,171,48,17476.0,-15640.25,1835.75,102.19883040935673,-325.8385416666667,57,306.5964912280702,BB,1659003098.9247
68,Peter Kmeť,1,1,550.0,-522.0,28.0,550.0,-522.0,1,550.0,BB,1659003098.9343228
69,Zsolt Lajka,5,15,5017.219999999999,-3852.35,1164.8699999999994,1003.4439999999998,-256.8233333333333,1,5017.219999999999,BB,1659003098.939658
70,Ondrej Lunter,31,54,106712.0,-60427.56,46284.44,3442.3225806451615,-1119.0288888888888,29,3679.7241379310344,BB,1659003098.945472
71,Rút Olšiaková,1,1,3000.0,-519.98,2480.02,3000.0,-519.98,1,3000.0,BB,1659003098.949894
72,Mikuláš Pál,1,5,3000.0,-90.25999999999999,2909.74,3000.0,-18.052,1,3000.0,BB,1659003098.9541938
73,Adrian Polóny,1,0,47000.0,0.0,47000.0,47000.0,-1.0,1,47000.0,BB,1659003098.961021
74,Peter Sitor,2,3,700.0,-531.0,169.0,350.0,-177.0,1,700.0,BB,1659003098.970923
75,Zuzana Bednárová,2,2,10500.0,-138.46,10361.54,5250.0,-69.23,2,5250.0,PO,1659003098.975481
76,Anton Danko,2,2,5005.22,-31.4,4973.820000000001,2502.61,-15.7,1,5005.22,PO,1659003098.97981
77,Peter Duda,7,2,490.0,-6.6,483.4,70.0,-3.3,7,70.0,PO,1659003098.9842188
78,Angela Františková,3,3,630.0,-274.0,356.0,210.0,-91.33333333333333,2,315.0,PO,1659003098.989655
79,Slavomír Novák,12,4,6700.0,-1010.76,5689.24,558.3333333333334,-252.69,11,609.0909090909091,PO,1659003098.998695
80,Miloslav Olejár,18,29,3701.6600000000003,-2950.85,750.8100000000004,205.6477777777778,-101.75344827586207,15,246.77733333333336,PO,1659003099.004071
81,Tomáš Šimoňák,8,14,4550.0,-3107.0899999999997,1442.9100000000003,568.75,-221.93499999999997,7,650.0,PO,1659003099.008704
82,Tomáš Kirňak,1,5,500.0,-374.4,125.60000000000002,500.0,-74.88,1,500.0,PO,1659003099.013186
83,Matej Kundrát,8,3,1835.0,-1507.36,327.6400000000001,229.375,-502.4533333333333,5,367.0,KE,1659003099.017608
84,Oliver Petrík,0,2,0.0,-6.33,-6.33,-1.0,-3.165,0,-1.0,KE,1659003099.022295
85,Tímea Sotáková,8,2,2700.0,-1362.0,1338.0,337.5,-681.0,8,337.5,KE,1659003099.030758
86,Róbert Suja,10,25,17055.0,-16224.150000000001,830.8499999999985,1705.5,-648.966,5,3411.0,KE,1659003099.038253
87,Marcel Šaňa,4,3,1400.0,-326.6,1073.4,350.0,-108.86666666666667,2,700.0,KE,1659003099.042774
88,Rastislav Trnka,16,2,27560.0,-10.0,27550.0,1722.5,-5.0,14,1968.5714285714287,KE,1659003099.0478258
89,Miroslav Tuleja,2,3,5100.0,-4058.0,1042.0,2550.0,-1352.6666666666667,2,2550.0,KE,1659003099.05233
